code,lang,lto,nodes,ranks,scaling,style,rep,metric
pic,c,0,2,40,strong,PATCH,3,20.817539
pic,c,1,2,40,strong,PATCH,3,21.643545
pic,rust,0,2,40,strong,PATCH,3,22.644592
pic,rust,1,2,40,strong,PATCH,3,22.960713
pic,c,0,2,40,strong,PATCH,4,20.754357
pic,c,1,2,40,strong,PATCH,4,21.654527
pic,rust,0,2,40,strong,PATCH,4,22.662735
pic,rust,1,2,40,strong,PATCH,4,22.918232
pic,c,0,2,40,strong,PATCH,5,20.837247
pic,c,1,2,40,strong,PATCH,5,21.656558
pic,rust,0,2,40,strong,PATCH,5,22.75271
pic,rust,1,2,40,strong,PATCH,5,22.934314
pic,c,0,2,40,strong,PATCH,6,20.814259
pic,c,1,2,40,strong,PATCH,6,21.564498
pic,rust,0,2,40,strong,PATCH,6,22.75831
pic,rust,1,2,40,strong,PATCH,6,22.924475
pic,c,0,2,40,strong,PATCH,7,20.803414
pic,c,1,2,40,strong,PATCH,7,21.64206
pic,rust,0,2,40,strong,PATCH,7,22.7878
pic,rust,1,2,40,strong,PATCH,7,22.956052
pic,c,0,2,40,strong,PATCH,8,20.80445
pic,c,1,2,40,strong,PATCH,8,21.672832
pic,rust,0,2,40,strong,PATCH,8,22.736944
pic,rust,1,2,40,strong,PATCH,8,22.863745
pic,c,0,2,40,strong,PATCH,9,20.806763
pic,c,1,2,40,strong,PATCH,9,21.628822
pic,rust,0,2,40,strong,PATCH,9,22.686531
pic,rust,1,2,40,strong,PATCH,9,22.909418
pic,c,0,2,40,strong,SINUSOIDAL,0,220.44563
pic,c,1,2,40,strong,SINUSOIDAL,0,242.514605
pic,rust,0,2,40,strong,SINUSOIDAL,0,206.746946
pic,rust,1,2,40,strong,SINUSOIDAL,0,171.421205
pic,c,0,2,40,strong,SINUSOIDAL,1,231.325844
pic,c,1,2,40,strong,SINUSOIDAL,1,259.228825
pic,rust,0,2,40,strong,SINUSOIDAL,1,178.808103
pic,rust,1,2,40,strong,SINUSOIDAL,1,199.221169
pic,c,0,2,40,strong,SINUSOIDAL,2,248.065271
pic,c,1,2,40,strong,SINUSOIDAL,2,257.794194
pic,rust,0,2,40,strong,SINUSOIDAL,2,188.825128
pic,rust,1,2,40,strong,SINUSOIDAL,2,177.493158
pic,c,0,2,40,strong,SINUSOIDAL,3,224.878853
pic,c,1,2,40,strong,SINUSOIDAL,3,256.369569
pic,rust,0,2,40,strong,SINUSOIDAL,3,186.103719
pic,rust,1,2,40,strong,SINUSOIDAL,3,191.996718
pic,c,0,2,40,strong,SINUSOIDAL,4,243.438033
pic,c,1,2,40,strong,SINUSOIDAL,4,252.557839
pic,rust,0,2,40,strong,SINUSOIDAL,4,197.650848
pic,rust,1,2,40,strong,SINUSOIDAL,4,191.101687
pic,c,0,2,40,strong,SINUSOIDAL,5,223.962299
pic,c,1,2,40,strong,SINUSOIDAL,5,256.476726
pic,rust,0,2,40,strong,SINUSOIDAL,5,166.779538
pic,rust,1,2,40,strong,SINUSOIDAL,5,188.62298
pic,c,0,2,40,strong,SINUSOIDAL,6,231.375478
pic,c,1,2,40,strong,SINUSOIDAL,6,237.667274
pic,rust,0,2,40,strong,SINUSOIDAL,6,204.921801
pic,rust,1,2,40,strong,SINUSOIDAL,6,197.47841
pic,c,0,2,40,strong,SINUSOIDAL,7,247.615469
pic,c,1,2,40,strong,SINUSOIDAL,7,239.679178
pic,rust,0,2,40,strong,SINUSOIDAL,7,193.692344
pic,rust,1,2,40,strong,SINUSOIDAL,7,192.57548
pic,c,0,2,40,strong,SINUSOIDAL,8,235.481584
pic,c,1,2,40,strong,SINUSOIDAL,8,237.791883
pic,rust,0,2,40,strong,SINUSOIDAL,8,204.563356
pic,rust,1,2,40,strong,SINUSOIDAL,8,189.52024
pic,c,0,2,40,strong,SINUSOIDAL,9,248.72822
pic,c,1,2,40,strong,SINUSOIDAL,9,257.061808
